elapsed_seconds,voltage_v,raw_response,query_elapsed_ms
0.047,1.58E-07,1.58E-07,11.303
0.313,1.58E-07,1.58E-07,13.042
0.563,1.71E-07,1.71E-07,11.308
0.813,1.71E-07,1.71E-07,10.847
1.063,1.61E-07,1.61E-07,11.027
1.313,1.68E-07,1.68E-07,11.018
1.563,1.68E-07,1.68E-07,11.299
1.813,1.79E-07,1.79E-07,10.799
2.063,1.79E-07,1.79E-07,10.439
2.313,1.78E-07,1.78E-07,10.753
2.563,1.73E-07,1.73E-07,11.569
2.813,1.73E-07,1.73E-07,10.842
3.079,1.72E-07,1.72E-07,11.206
3.344,1.72E-07,1.72E-07,10.18
3.594,1.64E-07,1.64E-07,9.951
3.86,1.80E-07,1.80E-07,11.281
4.11,1.80E-07,1.80E-07,11.117
4.375,1.86E-07,1.86E-07,11.091
4.641,1.86E-07,1.86E-07,10.215
4.907,1.79E-07,1.79E-07,10.67
5.172,1.72E-07,1.72E-07,10.198
5.438,1.72E-07,1.72E-07,11.567
5.688,1.76E-07,1.76E-07,10.633
5.969,1.73E-07,1.73E-07,21.698
6.219,1.73E-07,1.73E-07,11.074
6.469,1.88E-07,1.88E-07,10.529
6.735,1.88E-07,1.88E-07,10.934
6.985,1.70E-07,1.70E-07,11.212
7.235,1.74E-07,1.74E-07,15.103
7.485,1.74E-07,1.74E-07,10.524
7.735,1.85E-07,1.85E-07,11.526
8,1.85E-07,1.85E-07,10.25
8.266,1.76E-07,1.76E-07,11.314
8.516,1.89E-07,1.89E-07,16.46
8.766,1.89E-07,1.89E-07,11.244
9.016,1.77E-07,1.77E-07,11.097
9.282,1.77E-07,1.77E-07,11.297
9.532,1.79E-07,1.79E-07,11.102
9.797,1.72E-07,1.72E-07,10.53
10.047,1.72E-07,1.72E-07,10.996
10.313,1.76E-07,1.76E-07,11.083
10.563,1.76E-07,1.76E-07,11.469
10.829,1.82E-07,1.82E-07,10.453
11.094,1.69E-07,1.69E-07,10.344
11.36,1.69E-07,1.69E-07,10.551
11.625,1.73E-07,1.73E-07,10.391
11.875,1.73E-07,1.73E-07,10.341
12.141,1.77E-07,1.77E-07,10.853
12.391,1.71E-07,1.71E-07,11.619
12.657,1.71E-07,1.71E-07,13.078
12.907,1.84E-07,1.84E-07,10.543
13.172,1.84E-07,1.84E-07,11.441
13.438,1.87E-07,1.87E-07,11.365
13.688,1.77E-07,1.77E-07,10.572
13.938,1.77E-07,1.77E-07,12.096
14.188,1.71E-07,1.71E-07,10.598
14.438,1.71E-07,1.71E-07,11.158
14.688,1.90E-07,1.90E-07,10.762
14.954,1.86E-07,1.86E-07,10.427
15.219,1.86E-07,1.86E-07,14.053
15.469,1.78E-07,1.78E-07,10.6
15.719,1.78E-07,1.78E-07,11.221
15.969,1.87E-07,1.87E-07,10.563
16.219,1.82E-07,1.82E-07,10.814
16.469,1.82E-07,1.82E-07,11.324
16.735,1.80E-07,1.80E-07,10.672
16.985,1.80E-07,1.80E-07,10.561
17.25,1.90E-07,1.90E-07,11.066
17.516,1.84E-07,1.84E-07,11.516
17.782,1.84E-07,1.84E-07,10.34
18.032,1.88E-07,1.88E-07,10.797
18.282,1.88E-07,1.88E-07,18.375
18.563,1.88E-07,1.88E-07,10.122
18.797,2.01E-07,2.01E-07,9.81
19.079,2.01E-07,2.01E-07,10.854
19.329,1.77E-07,1.77E-07,10.287
19.579,1.76E-07,1.76E-07,21.171
19.829,1.76E-07,1.76E-07,10.956
20.079,1.78E-07,1.78E-07,10.983
20.329,1.78E-07,1.78E-07,10.076
20.579,1.85E-07,1.85E-07,10.558
20.829,1.85E-07,1.85E-07,11.208
21.094,1.99E-07,1.99E-07,10.844
21.344,1.84E-07,1.84E-07,10.794
21.61,1.84E-07,1.84E-07,10.562
21.86,1.99E-07,1.99E-07,11.503
22.125,1.94E-07,1.94E-07,12.416
22.375,1.94E-07,1.94E-07,11.267
22.641,1.94E-07,1.94E-07,10.296
22.891,1.94E-07,1.94E-07,10.756
23.157,1.98E-07,1.98E-07,11.162
23.407,1.84E-07,1.84E-07,10.776
23.672,1.84E-07,1.84E-07,11.853
23.938,1.91E-07,1.91E-07,11.263
24.188,1.91E-07,1.91E-07,11.531
24.454,1.86E-07,1.86E-07,10.198
24.704,1.80E-07,1.80E-07,10.791
24.954,1.80E-07,1.80E-07,10.937
25.219,1.83E-07,1.83E-07,11.628
25.485,1.83E-07,1.83E-07,10.575
25.735,1.87E-07,1.87E-07,11.885
26,1.83E-07,1.83E-07,10.446
26.25,1.83E-07,1.83E-07,11.208
26.516,2.00E-07,2.00E-07,11.035
26.766,2.00E-07,2.00E-07,10.46
27.016,1.80E-07,1.80E-07,10.658
27.266,1.82E-07,1.82E-07,10.464
27.532,1.82E-07,1.82E-07,10.594
27.782,1.90E-07,1.90E-07,10.192
28.032,1.90E-07,1.90E-07,10.666
28.297,1.82E-07,1.82E-07,11.708
28.547,1.84E-07,1.84E-07,11.304
28.813,1.84E-07,1.84E-07,11.7
29.063,2.02E-07,2.02E-07,9.888
29.329,2.02E-07,2.02E-07,10.597
29.579,1.96E-07,1.96E-07,10.733
29.829,1.84E-07,1.84E-07,10.745
30.079,1.84E-07,1.84E-07,10.342
30.344,1.86E-07,1.86E-07,11.645
30.61,1.86E-07,1.86E-07,11.657
30.86,1.97E-07,1.97E-07,11.119
31.11,1.85E-07,1.85E-07,10.283
31.375,1.85E-07,1.85E-07,11.467
31.641,1.90E-07,1.90E-07,10.896
31.907,2.02E-07,2.02E-07,14.277
32.157,2.02E-07,2.02E-07,10.664
32.422,2.00E-07,2.00E-07,10.235
32.672,2.00E-07,2.00E-07,10.188
32.938,1.87E-07,1.87E-07,10.435
33.188,2.09E-07,2.09E-07,10.061
33.454,2.09E-07,2.09E-07,10.276
33.719,1.98E-07,1.98E-07,10.627
33.969,1.98E-07,1.98E-07,11.379
34.219,1.93E-07,1.93E-07,10.989
34.485,2.09E-07,2.09E-07,10.92
34.75,2.09E-07,2.09E-07,10.403
35,1.95E-07,1.95E-07,10.291
35.266,1.95E-07,1.95E-07,11.036
35.516,1.93E-07,1.93E-07,11.221
35.782,1.87E-07,1.87E-07,10.383
36.047,1.87E-07,1.87E-07,10.682
36.297,1.97E-07,1.97E-07,10.483
36.563,1.97E-07,1.97E-07,11.411
36.813,1.99E-07,1.99E-07,11.109
37.063,2.05E-07,2.05E-07,10.053
37.329,2.05E-07,2.05E-07,12.632
37.594,1.83E-07,1.83E-07,11.171
37.844,1.83E-07,1.83E-07,10.39
38.11,2.00E-07,2.00E-07,10.143
38.375,1.88E-07,1.88E-07,11.113
38.625,1.88E-07,1.88E-07,11.149
38.907,1.91E-07,1.91E-07,10.299
39.157,2.02E-07,2.02E-07,10.571
39.407,2.02E-07,2.02E-07,10.319
39.657,2.02E-07,2.02E-07,10.911
39.922,2.02E-07,2.02E-07,10.552
40.172,2.12E-07,2.12E-07,9.973
40.438,2.06E-07,2.06E-07,10.321
40.704,2.06E-07,2.06E-07,10.92
40.954,1.71E-07,1.71E-07,10.48
41.204,1.71E-07,1.71E-07,10.483
41.469,1.99E-07,1.99E-07,10.973
41.735,1.91E-07,1.91E-07,10.65
42,1.91E-07,1.91E-07,10.533
42.25,2.00E-07,2.00E-07,9.787
42.516,2.00E-07,2.00E-07,10.532
42.766,2.00E-07,2.00E-07,9.847
43.032,1.98E-07,1.98E-07,10.659
43.282,1.98E-07,1.98E-07,11.656
43.547,2.00E-07,2.00E-07,11.281
43.813,2.00E-07,2.00E-07,18.102
44.063,2.07E-07,2.07E-07,10.297
44.329,1.88E-07,1.88E-07,11.248
44.579,1.88E-07,1.88E-07,11.19
44.844,1.94E-07,1.94E-07,10.612
45.11,1.97E-07,1.97E-07,20.324
45.36,1.97E-07,1.97E-07,10.873
45.61,1.92E-07,1.92E-07,10.938
45.86,1.92E-07,1.92E-07,10.065
46.125,1.87E-07,1.87E-07,11.641
46.375,1.90E-07,1.90E-07,16.198
46.657,1.90E-07,1.90E-07,11.292
46.907,1.90E-07,1.90E-07,11.694
47.157,1.90E-07,1.90E-07,10.864
47.407,2.00E-07,2.00E-07,11.962
47.672,2.01E-07,2.01E-07,10.481
47.954,2.01E-07,2.01E-07,10.848
48.204,1.92E-07,1.92E-07,10.894
48.454,1.92E-07,1.92E-07,10.709
48.704,2.06E-07,2.06E-07,10.217
48.954,1.85E-07,1.85E-07,10.35
49.219,1.85E-07,1.85E-07,10.113
49.485,1.93E-07,1.93E-07,10.439
49.735,1.93E-07,1.93E-07,10.414
50,1.99E-07,1.99E-07,11.559
50.266,1.94E-07,1.94E-07,10.26
50.516,1.94E-07,1.94E-07,15.362
50.766,1.85E-07,1.85E-07,11.588
51.032,1.85E-07,1.85E-07,10.259
51.282,1.87E-07,1.87E-07,10.087
51.547,1.87E-07,1.87E-07,11.516
51.797,1.87E-07,1.87E-07,10.74
52.063,1.90E-07,1.90E-07,10.567
52.329,1.82E-07,1.82E-07,19.979
52.579,1.82E-07,1.82E-07,10.718
52.844,1.88E-07,1.88E-07,10.349
53.11,1.88E-07,1.88E-07,10.663
53.36,1.97E-07,1.97E-07,10.621
53.625,1.85E-07,1.85E-07,11.518
53.891,1.85E-07,1.85E-07,10.835
54.141,1.87E-07,1.87E-07,11.203
54.407,1.87E-07,1.87E-07,11.143
54.657,1.84E-07,1.84E-07,11.68
54.922,1.96E-07,1.96E-07,11.346
55.204,1.96E-07,1.96E-07,11.901
55.454,1.83E-07,1.83E-07,10.699
55.704,1.83E-07,1.83E-07,11.24
55.954,1.95E-07,1.95E-07,10.481
56.219,1.92E-07,1.92E-07,11.099
56.469,1.92E-07,1.92E-07,13.531
56.735,1.82E-07,1.82E-07,10.142
57,1.82E-07,1.82E-07,16.11
57.282,1.85E-07,1.85E-07,10.376
57.532,1.83E-07,1.83E-07,10.552
57.782,1.83E-07,1.83E-07,10.567
58.016,1.90E-07,1.90E-07,10.196
58.297,1.84E-07,1.84E-07,13.074
58.547,1.84E-07,1.84E-07,11.161
58.797,1.94E-07,1.94E-07,10.257
59.063,1.94E-07,1.94E-07,10.881
59.329,1.88E-07,1.88E-07,11.178
59.579,1.88E-07,1.88E-07,11.387
59.844,1.88E-07,1.88E-07,11.101
60.094,1.85E-07,1.85E-07,11.215
60.36,1.85E-07,1.85E-07,10.308
60.625,1.89E-07,1.89E-07,10.825
60.891,2.00E-07,2.00E-07,11.244
61.157,2.00E-07,2.00E-07,10.085
61.407,1.85E-07,1.85E-07,11.155
61.657,1.85E-07,1.85E-07,10.573
61.922,1.79E-07,1.79E-07,10.212
62.172,1.88E-07,1.88E-07,10.727
62.454,1.88E-07,1.88E-07,10.827
62.704,1.91E-07,1.91E-07,11.384
62.954,1.91E-07,1.91E-07,10.442
63.204,1.80E-07,1.80E-07,10.514
63.454,1.90E-07,1.90E-07,11.744
63.719,1.90E-07,1.90E-07,12.382
63.969,1.82E-07,1.82E-07,10.763
64.235,1.82E-07,1.82E-07,11.071
64.5,1.89E-07,1.89E-07,10.415
64.75,1.96E-07,1.96E-07,10.285
65.016,1.96E-07,1.96E-07,10.615
65.266,1.92E-07,1.92E-07,10.239
65.516,1.92E-07,1.92E-07,10.305
65.782,1.79E-07,1.79E-07,10.483
66.047,1.89E-07,1.89E-07,10.931
66.297,1.89E-07,1.89E-07,10.353
66.563,1.99E-07,1.99E-07,10.217
66.813,1.96E-07,1.96E-07,10.738
67.079,1.96E-07,1.96E-07,11.238
67.36,1.97E-07,1.97E-07,10.43
67.61,1.97E-07,1.97E-07,10.83
67.86,1.94E-07,1.94E-07,10.574
68.11,1.89E-07,1.89E-07,11.822
68.36,1.89E-07,1.89E-07,10.843
68.61,1.92E-07,1.92E-07,10.818
68.86,1.92E-07,1.92E-07,10.621
69.11,1.86E-07,1.86E-07,10.805
69.36,1.86E-07,1.86E-07,17.555
69.61,2.03E-07,2.03E-07,11.033
69.86,1.92E-07,1.92E-07,10.137
70.11,1.92E-07,1.92E-07,11.754
70.36,1.73E-07,1.73E-07,11.012
70.61,1.73E-07,1.73E-07,10.475
70.86,1.84E-07,1.84E-07,10.532
71.11,1.90E-07,1.90E-07,10.659
71.391,1.90E-07,1.90E-07,12.371
71.625,2.01E-07,2.01E-07,9.877
71.907,2.01E-07,2.01E-07,10.536
72.157,1.80E-07,1.80E-07,10.807
72.407,1.92E-07,1.92E-07,10.569
72.657,1.92E-07,1.92E-07,10.481
72.907,1.83E-07,1.83E-07,10.755
73.157,1.83E-07,1.83E-07,10.864
73.422,1.83E-07,1.83E-07,11.2
73.672,1.82E-07,1.82E-07,10.558
73.938,1.82E-07,1.82E-07,12.718
74.188,1.91E-07,1.91E-07,10.813
74.454,1.91E-07,1.91E-07,11.212
74.704,1.78E-07,1.78E-07,10.237
74.969,2.02E-07,2.02E-07,10.767
75.219,2.02E-07,2.02E-07,11.892
75.469,1.82E-07,1.82E-07,11.173
75.719,1.82E-07,1.82E-07,10.981
75.985,1.92E-07,1.92E-07,11.247
76.235,1.89E-07,1.89E-07,10.753
76.485,1.89E-07,1.89E-07,11.308
76.735,1.77E-07,1.77E-07,10.167
76.985,1.77E-07,1.77E-07,10.407
77.235,1.94E-07,1.94E-07,10.7
77.516,1.85E-07,1.85E-07,10.283
77.766,1.85E-07,1.85E-07,10.313
78.016,1.83E-07,1.83E-07,10.748
78.266,1.83E-07,1.83E-07,10.668
