elapsed_seconds,voltage_v,raw_response,query_elapsed_ms
0.047000,-3.91009196e-08,-3.91009196E-08,10.527
0.297000,-3.91009196e-08,-3.91009196E-08,10.666
0.563000,-3.49652905e-08,-3.49652905E-08,10.884
0.813000,-3.49652905e-08,-3.49652905E-08,10.889
1.063000,-3.42592075e-08,-3.42592075E-08,11.137
1.329000,-3.61757631e-08,-3.61757631E-08,10.325
1.610000,-3.61757631e-08,-3.61757631E-08,10.415
1.860000,-3.49653356e-08,-3.49653356E-08,11.004
2.110000,-3.49653356e-08,-3.49653356E-08,10.387
2.344000,-3.48644667e-08,-3.48644667E-08,10.206
2.625000,-3.13340533e-08,-3.13340533E-08,10.699
2.875000,-3.13340533e-08,-3.13340533E-08,10.842
3.125000,-4.23287694e-08,-4.23287694E-08,10.060
3.375000,-4.23287694e-08,-4.23287694E-08,11.145
3.641000,-4.62626586e-08,-4.62626586E-08,10.628
3.922000,-3.71844527e-08,-3.71844527E-08,11.004
4.172000,-3.71844527e-08,-3.71844527E-08,14.178
4.422000,-3.81931422e-08,-3.81931422E-08,9.812
4.688000,-3.81931422e-08,-3.81931422E-08,10.413
4.938000,-3.96053076e-08,-3.96053076E-08,10.006
5.204000,-3.69827147e-08,-3.69827147E-08,10.567
5.469000,-3.69827147e-08,-3.69827147E-08,10.299
5.735000,-4.19252968e-08,-4.19252968E-08,10.556
5.985000,-3.81931456e-08,-3.81931456E-08,19.677
6.250000,-3.81931456e-08,-3.81931456E-08,9.834
6.532000,-1.4589811e-08,-1.45898110E-08,10.847
6.782000,-1.4589811e-08,-1.45898110E-08,10.132
7.047000,-3.44609944e-08,-3.44609944E-08,11.665
7.313000,-1.42872041e-08,-1.42872041E-08,10.253
7.563000,-1.42872041e-08,-1.42872041E-08,11.296
7.844000,-2.60888714e-08,-2.60888714E-08,10.317
8.094000,-2.60888714e-08,-2.60888714E-08,9.818
8.375000,-3.88992283e-08,-3.88992283E-08,10.816
8.625000,-3.7285325e-08,-3.72853250E-08,10.723
8.875000,-3.7285325e-08,-3.72853250E-08,11.122
9.125000,-3.87983593e-08,-3.87983593E-08,10.279
9.391000,-3.68818492e-08,-3.68818492E-08,11.994
9.657000,-3.68818492e-08,-3.68818492E-08,11.388
9.907000,-4.03114152e-08,-4.03114152E-08,10.837
10.157000,-4.03114152e-08,-4.03114152E-08,10.146
10.407000,-3.65792649e-08,-3.65792649E-08,11.066
10.688000,-3.34523281e-08,-3.34523281E-08,11.136
10.938000,-3.34523281e-08,-3.34523281E-08,11.226
11.188000,-3.55705756e-08,-3.55705756E-08,11.003
11.438000,-3.55705756e-08,-3.55705756E-08,10.255
11.704000,-3.18384253e-08,-3.18384253E-08,10.410
11.969000,-4.45479101e-08,-4.45479101E-08,10.009
12.235000,-4.45479101e-08,-4.45479101E-08,11.243
12.485000,-3.16366874e-08,-3.16366874E-08,10.280
12.750000,-3.16366874e-08,-3.16366874E-08,11.054
13.000000,-3.33514592e-08,-3.33514592E-08,10.482
13.266000,-4.26314005e-08,-4.26314005E-08,10.218
13.532000,-4.26314005e-08,-4.26314005E-08,12.376
13.797000,-3.28471146e-08,-3.28471146E-08,9.929
14.079000,-4.25305541e-08,-4.25305541E-08,21.442
14.313000,-4.25305541e-08,-4.25305541E-08,10.273
14.547000,-3.50662553e-08,-3.50662553E-08,10.050
14.813000,-3.50662553e-08,-3.50662553E-08,12.336
15.047000,-4.44470632e-08,-4.44470632E-08,10.132
15.313000,-4.44470632e-08,-4.44470632E-08,10.868
15.594000,-3.37549596e-08,-3.37549596E-08,10.298
15.844000,-4.80783437e-08,-4.80783437E-08,11.093
16.125000,-4.80783437e-08,-4.80783437E-08,10.865
16.375000,-3.30488773e-08,-3.30488773E-08,10.996
16.641000,-2.40715451e-08,-2.40715451E-08,10.638
16.891000,-2.40715451e-08,-2.40715451E-08,10.097
17.157000,-2.7198481e-08,-2.71984810E-08,10.824
17.422000,-2.7198481e-08,-2.71984810E-08,10.670
17.688000,-2.69967432e-08,-2.69967432E-08,11.053
17.938000,-3.55705999e-08,-3.55705999E-08,10.568
18.204000,-3.55705999e-08,-3.55705999E-08,10.799
18.469000,-4.03114183e-08,-4.03114183E-08,10.550
18.719000,-4.03114183e-08,-4.03114183E-08,9.885
19.000000,-3.82940398e-08,-3.82940398E-08,10.367
19.250000,-3.1434953e-08,-3.14349530E-08,9.737
19.516000,-3.1434953e-08,-3.14349530E-08,11.306
19.782000,-3.6680137e-08,-3.66801370E-08,11.137
20.032000,-3.91009912e-08,-3.91009912E-08,12.847
20.297000,-3.91009912e-08,-3.91009912E-08,10.740
20.579000,-1.96332889e-08,-1.96332889E-08,10.460
20.813000,-1.96332889e-08,-1.96332889E-08,9.668
21.094000,-3.19392976e-08,-3.19392976E-08,10.997
21.344000,-3.06280016e-08,-3.06280016E-08,11.347
21.625000,-3.06280016e-08,-3.06280016E-08,12.322
21.875000,-3.74870884e-08,-3.74870884E-08,10.478
22.157000,-3.74870884e-08,-3.74870884E-08,15.604
22.407000,-3.42592828e-08,-3.42592828E-08,10.232
22.672000,-3.37549425e-08,-3.37549425E-08,9.991
22.938000,-3.37549425e-08,-3.37549425E-08,10.813
23.188000,-2.66941181e-08,-2.66941181E-08,11.040
23.438000,-3.48645006e-08,-3.48645006E-08,16.159
23.719000,-3.48645006e-08,-3.48645006E-08,11.167
23.969000,-3.20401709e-08,-3.20401709E-08,10.373
24.235000,-3.20401709e-08,-3.20401709E-08,10.583
24.485000,-3.4360156e-08,-3.43601560E-08,10.310
24.750000,-3.19393019e-08,-3.19393019E-08,10.620
25.016000,-3.19393019e-08,-3.19393019E-08,10.221
25.266000,-3.39566803e-08,-3.39566803E-08,10.565
25.532000,-3.39566803e-08,-3.39566803E-08,10.732
25.797000,-3.0628006e-08,-3.06280060E-08,10.961
26.063000,-2.50802154e-08,-2.50802154E-08,10.909
26.313000,-2.50802154e-08,-2.50802154E-08,11.141
26.579000,-3.30488601e-08,-3.30488601E-08,10.079
26.829000,-3.30488601e-08,-3.30488601E-08,16.066
27.110000,-3.6478382e-08,-3.64783820E-08,10.798
27.360000,-3.25444933e-08,-3.25444933E-08,10.818
27.610000,-3.25444933e-08,-3.25444933E-08,10.111
27.891000,-3.87983677e-08,-3.87983677E-08,10.250
28.141000,-3.4864479e-08,-3.48644790E-08,11.290
28.391000,-3.4864479e-08,-3.48644790E-08,10.631
28.657000,-3.78905472e-08,-3.78905472E-08,10.442
28.907000,-3.78905472e-08,-3.78905472E-08,10.318
29.172000,-3.32505759e-08,-3.32505759E-08,10.819
29.454000,-3.6579251e-08,-3.65792510E-08,10.712
29.704000,-3.6579251e-08,-3.65792510E-08,11.489
29.954000,-3.07288523e-08,-3.07288523E-08,11.507
30.204000,-3.07288523e-08,-3.07288523E-08,9.727
30.485000,-2.40715022e-08,-2.40715022E-08,11.335
30.735000,-2.4374109e-08,-2.43741090E-08,9.906
30.985000,-2.4374109e-08,-2.43741090E-08,14.255
31.250000,-3.70835527e-08,-3.70835527E-08,10.371
31.500000,-3.70835527e-08,-3.70835527E-08,10.625
31.782000,-3.02244615e-08,-3.02244615E-08,10.232
32.032000,-2.72992609e-08,-2.72992609E-08,10.703
32.282000,-2.72992609e-08,-2.72992609E-08,10.807
32.532000,-2.84088197e-08,-2.84088197E-08,10.602
32.782000,-2.84088197e-08,-2.84088197E-08,10.543
33.032000,-3.70835527e-08,-3.70835527E-08,10.859
33.297000,-3.04261995e-08,-3.04261995E-08,10.896
33.563000,-3.04261995e-08,-3.04261995E-08,10.510
33.829000,-4.59600237e-08,-4.59600237E-08,11.309
34.094000,-3.26453172e-08,-3.26453172E-08,11.144
34.360000,-3.26453172e-08,-3.26453172E-08,11.455
34.610000,-3.71844217e-08,-3.71844217E-08,11.012
34.860000,-3.71844217e-08,-3.71844217E-08,11.022
35.110000,-3.78905046e-08,-3.78905046E-08,10.288
35.360000,-3.79913617e-08,-3.79913617E-08,11.357
35.625000,-3.79913617e-08,-3.79913617E-08,11.418
35.875000,-3.38557326e-08,-3.38557326E-08,10.817
36.141000,-3.38557326e-08,-3.38557326E-08,11.572
36.407000,-3.68818027e-08,-3.68818027E-08,11.111
36.688000,-3.74870167e-08,-3.74870167E-08,11.120
36.938000,-3.74870167e-08,-3.74870167E-08,10.868
37.188000,-3.54696367e-08,-3.54696367E-08,10.772
37.454000,-3.54696367e-08,-3.54696367E-08,10.570
37.719000,-3.58731127e-08,-3.58731127E-08,10.486
37.985000,-3.65791957e-08,-3.65791957E-08,10.183
38.266000,-3.65791957e-08,-3.65791957E-08,11.154
38.516000,-3.31496496e-08,-3.31496496E-08,11.632
38.766000,-3.69826717e-08,-3.69826717E-08,10.012
39.032000,-3.69826717e-08,-3.69826717E-08,10.497
39.297000,-3.41583396e-08,-3.41583396E-08,10.966
39.547000,-3.41583396e-08,-3.41583396E-08,10.844
39.829000,-3.26452782e-08,-3.26452782E-08,11.561
40.079000,-4.49512996e-08,-4.49512996E-08,10.771
40.329000,-4.49512996e-08,-4.49512996E-08,10.939
40.594000,-3.40574445e-08,-3.40574445E-08,11.277
40.860000,-3.40574445e-08,-3.40574445E-08,10.217
41.141000,-3.47635277e-08,-3.47635277E-08,11.131
41.375000,-2.4878363e-08,-2.48783630E-08,10.678
41.641000,-2.4878363e-08,-2.48783630E-08,11.619
41.907000,-3.49652658e-08,-3.49652658E-08,10.385
42.157000,-4.08156694e-08,-4.08156694E-08,13.944
42.422000,-4.08156694e-08,-4.08156694E-08,10.452
42.688000,-3.61756941e-08,-3.61756941E-08,10.763
42.938000,-3.61756941e-08,-3.61756941E-08,10.087
43.204000,-4.03113243e-08,-4.03113243E-08,10.044
43.469000,-3.38557065e-08,-3.38557065E-08,11.103
43.719000,-3.38557065e-08,-3.38557065E-08,10.526
43.985000,-4.64643201e-08,-4.64643201E-08,10.197
44.250000,-4.64643201e-08,-4.64643201E-08,10.682
44.500000,-4.87843082e-08,-4.87843082E-08,11.145
44.766000,-4.8481701e-08,-4.84817010E-08,11.614
45.032000,-4.8481701e-08,-4.84817010E-08,11.049
45.282000,-3.55704631e-08,-3.55704631E-08,9.864
45.579000,-4.48504154e-08,-4.48504154E-08,21.590
45.813000,-4.48504154e-08,-4.48504154E-08,10.464
46.063000,-4.32365106e-08,-4.32365106E-08,10.966
46.313000,-4.32365106e-08,-4.32365106E-08,10.861
46.563000,-5.35251533e-08,-5.35251533E-08,10.421
46.844000,-4.20260821e-08,-4.20260821E-08,10.317
47.094000,-4.20260821e-08,-4.20260821E-08,10.948
47.344000,-6.27042365e-08,-6.27042365E-08,10.402
47.625000,-6.27042365e-08,-6.27042365E-08,11.126
47.875000,-5.54416652e-08,-5.54416652E-08,11.026
48.141000,-4.84817111e-08,-4.84817111E-08,11.370
48.391000,-4.84817111e-08,-4.84817111E-08,11.235
48.657000,-4.5354771e-08,-4.53547710E-08,11.486
48.922000,-4.5354771e-08,-4.53547710E-08,11.065
49.188000,-4.5354771e-08,-4.53547710E-08,11.379
49.438000,-5.60468886e-08,-5.60468886E-08,10.037
49.704000,-5.60468886e-08,-5.60468886E-08,12.590
49.954000,-5.1205175e-08,-5.12051750E-08,10.978
50.219000,-5.1205175e-08,-5.12051750E-08,10.498
50.485000,-5.39286389e-08,-5.39286389E-08,9.978
50.750000,-4.62625923e-08,-4.62625923E-08,11.367
51.016000,-4.62625923e-08,-4.62625923E-08,10.412
51.297000,-5.83668764e-08,-5.83668764E-08,10.244
51.547000,-5.05999608e-08,-5.05999608E-08,10.306
51.797000,-5.05999608e-08,-5.05999608E-08,10.668
52.047000,-4.44469497e-08,-4.44469497E-08,10.572
52.313000,-4.44469497e-08,-4.44469497E-08,10.161
52.579000,-3.8293936e-08,-3.82939360E-08,11.839
52.860000,-4.57582447e-08,-4.57582447E-08,10.608
53.110000,-4.57582447e-08,-4.57582447E-08,10.409
53.360000,-5.53408032e-08,-5.53408032E-08,10.652
53.610000,-5.53408032e-08,-5.53408032E-08,10.650
53.860000,-5.32225534e-08,-5.32225534E-08,10.144
54.094000,-4.73721493e-08,-4.73721493E-08,10.275
54.360000,-4.73721493e-08,-4.73721493E-08,10.946
54.641000,-5.2112994e-08,-5.21129940E-08,10.502
54.891000,-5.2112994e-08,-5.21129940E-08,10.690
55.157000,1.86644016e-07,+1.86644016E-07,11.745
55.438000,-1.64884448e-07,-1.64884448E-07,10.736
55.688000,-1.64884448e-07,-1.64884448E-07,10.635
55.938000,5.55421214e-07,+5.55421214E-07,10.517
56.188000,-1.00506058e-08,-1.00506058E-08,19.683
56.469000,-1.00506058e-08,-1.00506058E-08,10.044
56.750000,-1.62564461e-07,-1.62564461E-07,11.351
57.000000,-1.62564461e-07,-1.62564461E-07,11.689
57.250000,8.40839086e-09,+8.40839086E-09,11.968
57.500000,-9.44779992e-08,-9.44779992E-08,11.494
57.782000,-9.44779992e-08,-9.44779992E-08,11.266
58.016000,-2.19531811e-08,-2.19531811E-08,10.037
58.282000,-2.19531811e-08,-2.19531811E-08,11.127
58.563000,1.29474963e-08,+1.29474963E-08,10.634
58.813000,7.97227808e-08,+7.97227808E-08,10.817
59.079000,7.97227808e-08,+7.97227808E-08,10.787
59.329000,-4.78765166e-08,-4.78765166E-08,10.694
59.610000,-4.35391492e-08,-4.35391492E-08,10.388
59.860000,-4.35391492e-08,-4.35391492E-08,10.947
60.110000,-5.60469064e-08,-5.60469064E-08,11.214
60.360000,-5.60469064e-08,-5.60469064E-08,10.697
60.625000,-6.13929639e-08,-6.13929639E-08,10.589
60.891000,-5.71565013e-08,-5.71565013E-08,10.637
61.141000,-5.71565013e-08,-5.71565013E-08,10.806
61.407000,-5.48365152e-08,-5.48365152E-08,10.229
61.672000,-5.48365152e-08,-5.48365152E-08,10.021
61.938000,-4.89861154e-08,-4.89861154E-08,11.093
62.188000,-6.15947356e-08,-6.15947356E-08,10.336
62.454000,-6.15947356e-08,-6.15947356E-08,10.862
62.704000,-4.57583087e-08,-4.57583087E-08,11.034
62.954000,-4.57583087e-08,-4.57583087E-08,10.658
63.219000,-6.11912597e-08,-6.11912597E-08,10.677
63.469000,-5.77617151e-08,-5.77617151E-08,10.640
63.735000,-5.77617151e-08,-5.77617151E-08,13.306
63.985000,-6.21999493e-08,-6.21999493E-08,11.744
64.250000,-6.21999493e-08,-6.21999493E-08,10.992
64.532000,-5.24156601e-08,-5.24156601E-08,11.033
64.782000,-5.75599771e-08,-5.75599771E-08,10.622
65.016000,-5.75599771e-08,-5.75599771E-08,9.938
65.282000,-2.80053715e-08,-2.80053715E-08,10.672
65.563000,-5.29200049e-08,-5.29200049E-08,10.547
65.797000,-5.29200049e-08,-5.29200049E-08,9.759
66.079000,-5.16087084e-08,-5.16087084E-08,11.355
66.329000,-5.16087084e-08,-5.16087084E-08,10.078
66.579000,-4.84817706e-08,-4.84817706E-08,10.827
66.829000,1.20776346e-07,+1.20776346E-07,17.044
67.079000,1.20776346e-07,+1.20776346E-07,10.881
67.360000,-9.56884444e-08,-9.56884444E-08,11.746
67.594000,-9.56884444e-08,-9.56884444E-08,10.769
67.860000,-5.28191359e-08,-5.28191359E-08,9.711
68.125000,-8.55006794e-08,-8.55006794E-08,10.787
68.407000,-8.55006794e-08,-8.55006794E-08,10.657
68.657000,-1.61354023e-07,-1.61354023E-07,11.437
68.907000,-1.61354023e-07,-1.61354023E-07,11.048
69.157000,-5.7862584e-08,-5.78625840E-08,11.157
69.422000,-5.49373842e-08,-5.49373842E-08,10.132
69.704000,-5.49373842e-08,-5.49373842E-08,10.969
69.954000,-6.11912598e-08,-6.11912598E-08,11.774
70.204000,-6.11912598e-08,-6.11912598E-08,11.367
70.485000,-5.24156602e-08,-5.24156602E-08,10.237
70.735000,-5.95773564e-08,-5.95773564E-08,10.956
70.985000,-5.95773564e-08,-5.95773564E-08,10.864
71.235000,-5.31217429e-08,-5.31217429E-08,10.102
71.516000,-4.89861155e-08,-4.89861155E-08,21.968
71.750000,-4.89861155e-08,-4.89861155E-08,10.367
72.016000,-5.36260877e-08,-5.36260877E-08,11.267
72.266000,-5.36260877e-08,-5.36260877E-08,10.800
72.516000,-5.75599772e-08,-5.75599772E-08,9.805
72.750000,-5.75599772e-08,-5.75599772E-08,10.178
73.016000,-3.82940056e-08,-3.82940056E-08,11.429
73.266000,-5.25165291e-08,-5.25165291E-08,11.178
73.516000,-5.25165291e-08,-5.25165291E-08,14.609
73.782000,-4.66661226e-08,-4.66661226E-08,10.746
74.032000,-4.66661226e-08,-4.66661226E-08,10.543
74.266000,-5.2012178e-08,-5.20121780E-08,10.169
74.532000,-3.38557635e-08,-3.38557635E-08,11.241
74.797000,-3.38557635e-08,-3.38557635E-08,11.149
75.063000,-3.72853085e-08,-3.72853085E-08,11.096
75.344000,-4.96921917e-08,-4.96921917E-08,20.844
75.579000,-4.96921917e-08,-4.96921917E-08,10.734
75.829000,-3.08296945e-08,-3.08296945E-08,11.234
76.079000,-3.08296945e-08,-3.08296945E-08,11.003
76.329000,-3.91009499e-08,-3.91009499E-08,10.634
76.594000,-3.91009499e-08,-3.91009499E-08,16.426
76.844000,-1.04766649e-07,-1.04766649E-07,10.498
77.110000,1.52449222e-07,+1.52449222E-07,11.002
77.375000,1.52449222e-07,+1.52449222E-07,10.316
77.625000,-9.87145107e-08,-9.87145107E-08,10.657
77.891000,-1.37448172e-07,-1.37448172E-07,10.812
78.141000,-1.37448172e-07,-1.37448172E-07,11.413
78.422000,-1.19997861e-07,-1.19997861E-07,10.928
78.672000,-1.19997861e-07,-1.19997861E-07,10.454
78.922000,-3.43724472e-07,-3.43724472E-07,10.781
79.204000,-1.01236228e-07,-1.01236228E-07,10.739
79.454000,-1.01236228e-07,-1.01236228E-07,10.759
79.704000,-1.01236228e-07,-1.01236228E-07,10.614
79.985000,-1.01236228e-07,-1.01236228E-07,10.513
80.235000,1.71210919e-07,+1.71210919E-07,10.883
80.485000,-1.19392647e-07,-1.19392647E-07,10.394
80.750000,-1.19392647e-07,-1.19392647E-07,13.924
81.000000,2.18720214e-07,+2.18720214E-07,11.424
81.250000,2.18720214e-07,+2.18720214E-07,10.823
81.500000,-1.58001921e-08,-1.58001921E-08,10.263
81.766000,-2.13704839e-07,-2.13704839E-07,10.814
82.032000,-2.13704839e-07,-2.13704839E-07,10.443
82.282000,1.63040481e-07,+1.63040481E-07,11.651
82.547000,1.63040481e-07,+1.63040481E-07,10.607
82.797000,1.1885987e-07,+1.18859870E-07,11.233
83.063000,1.48918824e-07,+1.48918824E-07,11.521
83.329000,1.48918824e-07,+1.48918824E-07,11.104
83.579000,7.39965274e-09,+7.39965274E-09,10.505
83.844000,-6.5202658e-09,-6.52026580E-09,10.865
84.110000,-6.5202658e-09,-6.52026580E-09,10.838
84.360000,-6.92374169e-09,-6.92374169E-09,11.947
84.641000,-6.92374169e-09,-6.92374169E-09,10.911
84.891000,-1.37594808e-09,-1.37594808E-09,10.608
85.157000,-1.678555e-09,-1.67855500E-09,11.430
85.422000,-1.678555e-09,-1.67855500E-09,11.538
85.672000,-7.70734227e-10,-7.70734227E-10,11.434
85.954000,-7.70734227e-10,-7.70734227E-10,10.579
86.188000,8.50921146e-09,+8.50921146E-09,9.931
86.469000,-1.37596874e-09,-1.37596874E-09,10.845
86.719000,-1.37596874e-09,-1.37596874E-09,10.926
86.985000,-5.61246501e-09,-5.61246501E-09,9.984
87.235000,-5.00725125e-09,-5.00725125E-09,9.753
87.516000,-5.00725125e-09,-5.00725125E-09,9.740
87.766000,-4.9063823e-09,-4.90638230E-09,12.232
88.047000,-4.9063823e-09,-4.90638230E-09,10.529
88.297000,-3.09074104e-09,-3.09074104E-09,10.448
88.547000,-7.22636835e-09,-7.22636835E-09,10.753
88.813000,-7.22636835e-09,-7.22636835E-09,11.634
89.063000,-3.69595479e-09,-3.69595479E-09,10.759
89.329000,-3.69595479e-09,-3.69595479E-09,11.603
89.594000,1.3855244e-08,+1.38552440E-08,10.643
89.844000,1.37065646e-10,+1.37065646E-10,10.867
90.110000,1.37065646e-10,+1.37065646E-10,12.186
90.391000,6.59267901e-09,+6.59267901E-09,11.518
90.641000,6.59267901e-09,+6.59267901E-09,16.235
90.891000,3.46572492e-09,+3.46572492E-09,11.306
91.141000,2.65877335e-09,+2.65877335E-09,10.497
91.391000,2.65877335e-09,+2.65877335E-09,10.720
91.657000,-3.2924945e-09,-3.29249450E-09,10.224
91.907000,-3.2924945e-09,-3.29249450E-09,11.072
