record_type,elapsed_seconds,voltage_v,raw_response,query_elapsed_ms
sample,0.032000,2.0117178e-07,+2.01171780E-07,10.107
sample,0.313000,2.0117178e-07,+2.01171780E-07,16.791
sample,0.563000,1.93909111e-07,+1.93909111E-07,11.018
sample,0.813000,2.09846635e-07,+2.09846635E-07,10.493
sample,1.094000,2.09846635e-07,+2.09846635E-07,10.510
sample,1.344000,2.1347797e-07,+2.13477970E-07,11.447
sample,1.594000,2.04399633e-07,+2.04399633E-07,17.883
sample,1.875000,2.04399633e-07,+2.04399633E-07,10.564
sample,2.110000,2.05811889e-07,+2.05811889E-07,10.104
sample,2.391000,2.05811889e-07,+2.05811889E-07,10.936
sample,2.641000,2.09644965e-07,+2.09644965E-07,10.564
sample,2.907000,1.99356181e-07,+1.99356181E-07,11.132
sample,3.172000,1.99356181e-07,+1.99356181E-07,10.338
sample,3.422000,2.0147446e-07,+2.01474460E-07,10.695
sample,3.688000,2.0147446e-07,+2.01474460E-07,10.121
sample,3.938000,1.99658793e-07,+1.99658793E-07,10.247
sample,4.203000,2.0147446e-07,+2.01474460E-07,10.175
sample,4.453000,2.0147446e-07,+2.01474460E-07,11.507
sample,4.735000,2.01676201e-07,+2.01676201E-07,10.762
sample,4.985000,2.01676201e-07,+2.01676201E-07,11.065
sample,5.235000,2.0137359e-07,+2.01373590E-07,11.213
sample,5.485000,2.17109376e-07,+2.17109376E-07,10.810
sample,5.750000,2.17109376e-07,+2.17109376E-07,11.515
sample,6.016000,2.11662373e-07,+2.11662373E-07,10.204
sample,6.266000,2.11662373e-07,+2.11662373E-07,15.603
sample,6.516000,1.78576944e-07,+1.78576944E-07,11.486
sample,6.797000,2.18723383e-07,+2.18723383E-07,11.671
sample,7.032000,2.18723383e-07,+2.18723383E-07,9.984
sample,7.313000,1.99658868e-07,+1.99658868E-07,10.792
sample,7.563000,1.94817087e-07,+1.94817087E-07,10.483
sample,7.813000,1.94817087e-07,+1.94817087E-07,10.379
sample,8.063000,2.09645042e-07,+2.09645042E-07,10.589
sample,8.344000,2.09645042e-07,+2.09645042E-07,10.805
sample,8.594000,1.96229273e-07,+1.96229273E-07,11.393
sample,8.844000,1.96330143e-07,+1.96330143E-07,10.604
sample,9.094000,1.96330143e-07,+1.96330143E-07,10.434
sample,9.360000,1.97439718e-07,+1.97439718E-07,11.884
sample,9.610000,1.97439718e-07,+1.97439718E-07,10.837
